ST,AL,,AK,,AZ,,AR,,CA,,CO,,CT,,DE,,FL,,GA,,HI,,ID,,IL,,IN,,IA,,KS,,KY,,LA,,ME,,MD,,MA,,MI,,MN,,MS,,MO,,MT,,NE,,NV,,NH,,NJ,,NM,,NY,,NC,,ND,,OH,,OK,,OR,,PA,,RI,,SC,,SD,,TN,,TX,,UT,,VT,,VA,,WA,,WV,,WI,,WY
T20,000000003431,,000000001924,,000000011994,,000000001959,,000000047839,,000000006085,,000000006478,,000000000804,,000000036833,,000000002343,,000000000000,,000000001655,,000000011488,,000000010719,,000000010704,,000000002653,,000000006136,,000000000000,,000000004150,,000000001022,,000000003081,,000000014124,,000000001682,,000000002929,,000000004771,,000000002944,,000000000453,,000000000000,,000000003061,,000000007804,,000000003061,,000000047697,,000000014751,,000000000247,,000000038668,,000000005030,,000000002999,,000000016458,,000000000266,,000000007377,,000000000319,,000000012222,,000000052891,,000000001934,,000000000382,,000000011235,,000000011217,,000000016327,,000000001360,,000000000000
T21,000000000000,,000000000001,,000000000037,,000000000308,,000000012555,,000000000714,,000000000035,,000000000434,,000000009000,,000000000136,,000000000000,,000000000411,,000000000885,,000000304930,,000000022917,,000000000148,,000000000245,,000000000000,,000000000745,,000000000030,,000000000439,,000000000000,,000000001137,,000000004826,,000000001770,,000000008220,,000000000363,,000000096682,,000000000322,,000000076272,,000000000531,,000000000079,,000000000000,,000000000285,,000000009089,,000000086727,,000000001239,,000000261229,,000000000710,,000000002041,,000000000093,,000000000252,,000000008210,,000000000000,,000000000034,,000000000119,,000000015457,,000000000015,,000000000549,,000000000000
T22,000000103042,,000000000878,,000000011232,,000000022835,,000000061467,,000000013115,,000000017399,,000000618856,,000000220112,,000000032423,,000000001575,,000000002279,,000000334958,,000000003364,,000000039825,,000000054786,,000000075832,,000000252900,,000000008014,,000000089736,,000000023561,,000000020347,,000000007400,,000000129770,,000000088705,,000000003128,,000000007157,,000000072249,,000000039082,,000000313322,,000000016941,,000000070094,,000000456035,,000000000000,,000001016170,,000000052713,,000000013494,,000000813344,,000000004255,,000000077908,,000000003210,,000000644694,,000004474458,,000000003633,,000000004887,,000000054591,,000000025029,,000000006750,,000000018360,,000000010870
T23,000000015835,,000000027812,,000000029232,,000000020167,,000000095460,,000000075023,,000000005831,,000000001995,,000000015501,,000000020907,,000000000424,,000000036403,,000000034864,,000000016709,,000000026549,,000000021478,,000000025520,,000000030902,,000000016317,,000000015247,,000000005289,,000000047073,,000000057947,,000000015398,,000000030544,,000000046797,,000000015490,,000000008563,,000000009720,,000000013211,,000000023104,,000000043277,,000000016410,,000000015460,,000000037535,,000000017674,,000000038919,,000000071095,,000000001986,,000000017157,,000000027733,,000000032401,,000000093664,,000000027417,,000000006166,,000000022368,,000000031944,,000000016457,,000000069615,,000000032691
T24,000000212687,,000000055135,,000000218763,,000000140112,,000002704632,,000000219590,,000000201364,,000000046413,,000001153139,,000000296648,,000000111262,,000000124369,,000001381390,,000000190165,,000000404006,,000000172111,,000000212037,,000000087189,,000000084322,,000000442018,,000000287738,,000000892817,,000000511513,,000000123203,,000000269443,,000000143972,,000000090845,,000000169896,,000000093679,,000000432164,,000000179367,,000000748000,,000000609158,,000000088453,,000000810132,,000000631732,,000000484291,,000000814486,,000000052248,,000000142120,,000000047285,,000000270176,,000001456101,,000000280189,,000000079077,,000000355683,,000000487422,,000000086754,,000000406806,,000000055722
T25,000000017762,,000000000000,,000000027082,,000000014816,,000000235185,,000000013587,,000000039202,,000000002814,,000000161590,,000000064896,,000000000404,,000000007293,,000000077590,,000000226096,,000000015000,,000000017270,,000000019945,,000000011455,,000000011823,,000000029373,,000000092881,,000000051928,,000000050168,,000000034385,,000000015558,,000000007916,,000000008735,,000000016133,,000000013226,,000000037579,,000000004780,,000000145084,,000000134196,,000000004087,,000000079622,,000000014589,,000000031906,,000000061881,,000000000660,,000000044717,,000000002513,,000000043827,,000000116932,,000000013603,,000000005040,,000000045425,,000000061978,,000000003704,,000000036391,,000000002215
T27,000000013051,,000000000354,,000000011994,,000000009200,,000000669928,,000000014250,,000000000000,,000000006888,,000000033175,,000000000026,,000000015819,,000000033655,,000000009000,,000000000000,,000000012868,,000000005373,,000000000000,,000000005453,,000000000000,,000000000000,,000000001500,,000000019554,,000000000836,,000000007897,,000000020930,,000000000010,,000000000000,,000000000000,,000000007123,,000000001475,,000000001127,,000000012693,,000000000000,,000000000006,,000000040357,,000000000005,,000000029696,,000000049999,,000000000000,,000000000000,,000000000000,,000000005770,,000000024066,,000000000000,,000000000000,,000000000000,,000000021521,,000000020811,,000000059542,,000000000000
T28,000000122125,,000000040339,,000000098925,,000000096901,,000003795476,,000000033717,,000000079686,,000000244748,,000000246783,,000000070090,,000000025790,,000000060054,,000000487297,,000000043592,,000000105979,,000000027180,,000000113539,,000000107632,,000000096049,,000000117998,,000000167563,,000000151006,,000000330155,,000000084158,,000000155020,,000000090416,,000000062755,,000000172781,,000000046844,,000000567840,,000000025438,,000000147920,,000000198359,,000000057272,,000000603016,,000000081952,,000000307164,,000000717456,,000000035182,,000000131930,,000000078529,,000000271065,,000000719279,,000000038417,,000000027221,,000000159171,,000000246271,,000000042437,,000000312167,,000000019275
T29,000000000001,,000000010815,,000000011511,,000000001044,,000000019638,,000000001098,,000000005350,,000000110393,,000000003182,,000000008801,,000000001507,,000000004151,,000000006386,,000000004424,,000000001931,,000000002697,,000000004089,,000000003081,,000000009848,,000000002057,,000000102993,,000000157152,,000000050451,,000000016205,,000000018187,,000000007626,,000000020985,,000000005492,,000000002821,,000000002694,,000000000195,,000000015078,,000000006756,,000000000000,,000000021642,,000000001001,,000000007592,,000000016790,,000000000485,,000000010627,,000000012483,,000000007419,,000000093919,,000000006107,,000000001929,,000000004484,,000000052274,,000000000213,,000000004874,,000000000000
T40,000003077553,,000000000000,,000003408576,,000002344876,,000055745970,,000005067981,,000006851937,,000001006859,,000000000000,,000008845476,,000001544835,,000001438518,,000010320000,,000004837524,,000002848393,,000002944851,,000003483138,,000003169686,,000001562839,,000006940134,,000012496142,,000007181055,,000007777259,,000001551079,,000005118849,,000000870064,,000001726145,,000000000000,,000000117936,,000012605545,,000001198400,,000036563948,,000010993927,,000000317249,,000009847506,,000002787445,,000004968791,,000010408439,,000001091705,,000003327800,,000000000000,,000000290986,,000000000000,,000002593129,,000000623019,,000010114833,,000000000000,,000001518746,,000006466878,,000000000000
T41,000000524808,,000001297513,,000000784511,,000000342529,,000011849097,,000000507986,,000000604413,,000000308676,,000002208600,,000000943042,,000000105294,,000000190194,,000001860000,,000000909494,,000000347248,,000000528011,,000000533630,,000000703196,,000000184515,,000000735324,,000002179956,,000001778317,,000001040479,,000000384643,,000000384010,,000000161713,,000000232852,,000000000000,,000000614794,,000002819906,,000000403500,,000005037830,,000001206412,,000000161925,,000000754633,,000000360065,,000000477113,,000002191420,,000000145866,,000000312600,,000000069879,,000001005880,,000000000000,,000000394638,,000000084783,,000000787229,,000000000000,,000000538839,,000000863088,,000000000000
T50,000000000000,,000000000023,,000000000320,,000000000000,,000000006303,,000000000427,,000000166318,,000000000460,,000000012220,,000000000050,,000000000164,,000000000032,,000000372862,,000000165582,,000000079783,,000000044247,,000000051001,,000000011148,,000000039891,,000000243425,,000000253966,,000000000234,,000000115523,,000000001215,,000000003137,,000000000018,,000000006844,,000000000000,,000000000132,,000000698694,,000000000039,,000001037531,,000000176254,,000000000073,,000000061359,,000000054557,,000000109549,,000000803367,,000000035040,,000000000344,,000000000113,,000000103464,,000000005580,,000000000095,,000000015688,,000000153377,,000000110602,,000000000046,,000000158790,,000000000880
T51,000000048512,,000000000000,,000000000000,,000000035219,,000000000000,,000000000000,,000000155471,,000000095966,,000002398700,,000000014421,,000000038316,,000000000000,,000000076840,,000000000000,,000000016271,,000000000000,,000000003807,,000000000000,,000000024620,,000000154491,,000000188170,,000000169835,,000000198994,,000000000000,,000000008728,,000000000000,,000000013503,,000000092555,,000000121869,,000000517405,,000000000000,,000001225473,,000000060783,,000000000000,,000000000000,,000000016138,,000000012002,,000000507369,,000000010461,,000000071831,,000000000121,,000000199971,,000000000000,,000000000000,,000000026972,,000000455719,,000000709721,,000000011699,,000000059448,,000000000000
T53,000000197581,,000006939040,,000000043757,,000000027820,,000000031599,,000000151474,,000000000012,,000000000000,,000000056000,,000000000000,,000000000000,,000000006758,,000000000000,,000000001680,,000000000000,,000000168696,,000000293334,,000001035695,,000000000000,,000000000000,,000000000000,,000000113506,,000000031821,,000000135248,,000000000021,,000000347221,,000000004968,,000000074130,,000000000000,,000000000000,,000000625938,,000000000000,,000000001889,,000000791692,,000000009420,,000001184765,,000000011815,,000000000000,,000000000000,,000000000000,,000000006838,,000000002357,,000004124428,,000000106060,,000000000000,,000000002060,,000000044038,,000000347592,,000000005290,,000000883786
T99,000000000000,,000000000000,,000000000000,,000000012327,,000000000000,,000000000000,,000000000000,,000000001134,,000000000000,,000000000000,,000000000000,,000000002851,,000000000000,,000000000000,,000000000000,,000000000000,,000000000000,,000000000000,,000000000000,,000000063507,,000000045100,,000000000000,,000000000000,,000000001365,,000000000062,,000000003155,,000000000000,,000000284602,,000000000000,,000000000000,,000000009164,,000000000000,,000000000000,,000000000000,,000000000000,,000000002591,,000000000000,,000000025713,,000000000294,,000000000000,,000000000000,,000000035564,,000000000000,,000000000000,,000000003687,,000000126394,,000000000000,,000000000000,,000000010279,,000000004731
