 ST,          AL,          AK,          AZ,          AR,          CA,          CO,          CT,          DE,          FL,          GA,          HI,          ID,          IL,          IN,          IA,          KS,          KY,          LA,          ME,          MD,          MA,          MI,          MN,          MS,          MO,          MT,          NE,          NV,          NH,          NJ,          NM,          NY,          NC,          ND,          OH,          OK,          OR,          PA,          RI,          SC,          SD,          TN,          TX,          UT,          VT,          VA,          WA,          WV,          WI,          WY
T19,000000167559,000000000000,000000000000,000000047726,000000080268,000000000000,000000135422,000000078351,000000767900,000000096842,000000183487,000000005222,000000347952,000000008771,000000000000,000000022268,000000616337,000000031000,000000056717,000000792469,000000270509,000000356203,000001086194,000000007571,000000042159,000000033842,000000018210,000000037946,000000281265,000000238074,000000148736,000003017773,000000624602,000000075923,000000000000,000000024110,000000000000,000000085252,000000104561,000000106266,000000054583,000000099872,000003146812,000000028469,000000216780,000000682833,000000269992,000000346251,000000003576,000000000000
T20,000000002491,000000001829,000000003732,000000001652,000000043841,000000005632,000000006092,000000000614,000000034492,000000002331,000000000000,000000001309,000000010838,000000009648,000000008710,000000002460,000000005104,000000000000,000000003090,000000000960,000000002937,000000013079,000000001039,000000002346,000000003886,000000001976,000000000285,000000000000,000000017514,000000008736,000000000963,000000046000,000000013796,000000000259,000000029843,000000005204,000000002610,000000014765,000000000099,000000008076,000000000296,000000002444,000000038515,000000001147,000000000520,000000008209,000000010045,000000010489,000000000527,000000000005
T21,000000000000,000000000001,000000000028,000000002162,000000005191,000000000752,000000000066,000000000380,000000004583,000000000000,000000000000,000000000398,000000002163,000000004049,000000017401,000000000219,000000003828,000000000000,000000000775,000000000031,000000000445,000000000000,000000000727,000000003825,000000000062,000000004884,000000000000,000000095668,000000000354,000000066430,000000000258,000000000047,000000000000,000000000452,000000000000,000000004731,000000000798,000000000101,000000000403,000000002198,000000000134,000000000785,000000006923,000000000000,000000000143,000000000057,000000000075,000000000012,000000000523,000000000000
T22,000000073183,000000001319,000000014048,000000008595,000000070580,000000007232,000000015747,000000568190,000000161423,000000053227,000000002114,000000001754,000000169449,000000005298,000000038999,000000047170,000000198245,000000186912,000000003600,000000053264,000000025575,000000019344,000000006814,000000089763,000000090862,000000001112,000000006731,000000052760,000000004041,000000249969,000000002651,000000057682,000000337741,000000000000,000000297031,000000041960,000000004257,000000787502,000000003982,000000072898,000000002718,000000506776,000001896287,000000002628,000000004604,000000046342,000000018616,000000008033,000000014016,000000006327
T23,000000014700,000000023713,000000018253,000000021246,000000083013,000000066073,000000004049,000000001036,000000014520,000000024020,000000000275,000000029455,000000030025,000000017119,000000024693,000000018241,000000021345,000000027507,000000017547,000000011920,000000006686,000000048304,000000056535,000000012833,000000030349,000000037208,000000013770,000000007171,000000009031,000000012162,000000017126,000000004293,000000014891,000000012838,000000030826,000000021571,000000039882,000000064809,000000001881,000000019275,000000022129,000000024997,000000079988,000000020674,000000006105,000000020145,000000030399,000000015933,000000060795,000000027801
T24,000000172815,000000043782,000000161398,000000109831,000002155042,000000192923,000000197418,000000033592,000001124851,000000279991,000000089268,000000107269,000001370405,000000158542,000000377672,000000161497,000000205314,000000114090,000000081740,000000318923,000000292688,000001064774,000000517447,000000117892,000000254740,000000144651,000000088780,000000139467,000000084431,000000398691,000000121246,000000679515,000000440180,000000054707,000000713149,000000552799,000000418903,000000792430,000000056986,000000122056,000000042167,000000255137,000001232494,000000092802,000000062566,000000340085,000000334244,000000083663,000000330291,000000050784
T25,000000016712,000000000000,000000016069,000000015875,000000187395,000000014293,000000038204,000000000205,000000151774,000000036907,000000000189,000000007042,000000077409,000000211999,000000019100,000000014841,000000011205,000000011236,000000007109,000000039688,000000090605,000000066634,000000037952,000000022763,000000016559,000000005082,000000008210,000000014546,000000013051,000000034669,000000005855,000000227424,000000075371,000000003889,000000067504,000000014039,000000031752,000000060210,000000000577,000000036094,000000001875,000000041737,000000096199,000000009233,000000004175,000000045826,000000047812,000000003808,000000030759,000000001907
T27,000000010344,000000000281,000000000000,000000002271,000000124000,000000000000,000000000311,000000004046,000000027727,000000000000,000000010450,000000028350,000000000000,000000000000,000000010951,000000004914,000000008192,000000008726,000000000000,000000000000,000000000000,000000015389,000000000000,000000000000,000000019990,000000000005,000000000000,000000000000,000000006510,000000000621,000000000055,000000023081,000000000000,000000000006,000000003169,000000000003,000000012010,000000050763,000000000000,000000000000,000000000892,000000006221,000000017343,000000000000,000000000000,000000000000,000000014848,000000017158,000000081587,000000000000
T28,000000107177,000000009090,000000063308,000000020779,000003062827,000000050297,000000118424,000000220992,000000255501,000000117376,000000019484,000000042094,000000718979,000000040284,000000075977,000000022510,000000085419,000000076956,000000080529,000000131948,000000140493,000000171844,000000283517,000000059525,000000135328,000000037855,000000063980,000000308850,000000061597,000000407712,000000021575,000000146388,000000131728,000000046226,000000666510,000000199713,000000131592,000000763240,000000030031,000000113236,000000057993,000000203248,000000681645,000000027232,000000018873,000000147815,000000190476,000000039790,000000289639,000000014888
T29,000000000007,000000003723,000000012967,000000005465,000000012200,000000000709,000000004954,000000053334,000000000010,000000103811,000000001477,000000003129,000000006328,000000001448,000000002012,000000002767,000000003828,000000003641,000000007077,000000002204,000000105127,000000146089,000000037752,000000009541,000000053814,000000000599,000000020165,000000004938,000000002641,000000003028,000000000076,000000008589,000000003540,000000000000,000000005447,000000000401,000000009212,000000014031,000000000522,000000009672,000000010673,000000004320,000000033754,000000003283,000000001772,000000005431,000000040049,000000000221,000000003411,000000000000
T40,000002243537,000000000000,000002315865,000001685585,000036398983,000003413891,000004319546,000000781212,000000000000,000006830486,000001169205,000000907795,000007218428,000003807861,000001958697,000001915530,000002819393,000002192038,000001160028,000005277844,000008830334,000006576065,000005709584,000001061704,000003720749,000000605582,000001242603,000000000000,000000054769,000007400733,000001007248,000024647225,000007510978,000000213982,000008705161,000002319123,000004270740,000007323364,000000899939,000002438712,000000000000,000000139991,000000000000,000001692035,000000429817,000007422071,000000000000,000001068212,000005251190,000000000000
T41,000000292051,000000339564,000000525650,000000181830,000006925916,000000239591,000000379822,000000217768,000001441338,000000494701,000000058119,000000103784,000001278538,000000644787,000000089826,000000166609,000000381538,000000236745,000000111616,000000569700,000001301076,000001841010,000000637183,000000243846,000000224366,000000067723,000000167429,000000000000,000000407603,000001896998,000000138196,000002044504,000000837085,000000049807,000001060594,000000133309,000000320065,000001677998,000000069479,000000196510,000000047108,000000694798,000000000000,000000145005,000000062228,000000422119,000000000000,000000181515,000000681990,000000000000
T50,000000029467,000000002251,000000042292,000000021394,000000574510,000000050145,000000130464,000000011725,000000386767,000000066018,000000009829,000000007418,000000214745,000000139995,000000067896,000000048064,000000067679,000000045784,000000032076,000000152251,000000194706,000000075543,000000087022,000000015440,000000069657,000000011431,000000026423,000000024548,000000030536,000000516008,000000007392,000000736004,000000145110,000000002883,000000064242,000000111143,000000073608,000000708588,000000025313,000000032765,000000009322,000000096534,000000151131,000000009674,000000014712,000000149647,000000139855,000000009301,000000086357,000000006044
T51,000000045080,000000000000,000000000000,000000025972,000000000000,000000000000,000000175816,000000098556,000003196454,000000000420,000000018426,000000000000,000000091157,000000000000,000000013869,000000000000,000000003434,000000000000,000000029380,000000183189,000000245906,000000317480,000000352354,000000000000,000000007940,000000000000,000000009215,000000096704,000000145368,000000246503,000000000000,000000726712,000000054939,000000000000,000000000000,000000012048,000000006292,000000470790,000000012645,000000050493,000000000141,000000174206,000000000000,000000000000,000000020762,000000340591,000000640086,000000010129,000000066325,000000000000
T53,000000113646,000000697394,000000015544,000000015840,000000014471,000000115884,000000000000,000000000000,000000048651,000000000000,000000000000,000000002568,000000000349,000000000563,000000000000,000000098148,000000187109,000000476609,000000000000,000000000000,000000000000,000000058220,000000014814,000000053809,000000000053,000000083503,000000001806,000000037155,000000000000,000000000000,000000587625,000000000000,000000001894,000000175625,000000008112,000000655051,000000016603,000000000000,000000000000,000000000000,000000002012,000000001061,000001896803,000000050009,000000000000,000000001680,000000037624,000000204126,000000004610,000000683208
T99,000000000000,000000000000,000000000000,000000007827,000000000000,000000000000,000000000000,000000000449,000000000000,000000027382,000000000000,000000002270,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000051249,000000000000,000000000023,000000000000,000000000000,000000000038,000000003093,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000016590,000000000000,000000020249,000000000098,000000000000,000000000000,000000032254,000000000000,000000000000,000000004644,000000050206,000000000000,000000000000,000000011051,000000000000
