"SITE_ID","YEAR","SEASON","DATEON","DATEOFF","SO2_CONC","SO4_CONC","NO3_CONC","HNO3_CONC","TNO3_CONC","NH4_CONC","CA_CONC","NA_CONC","MG_CONC","K_CONC","CL_CONC"
"PED108","1996.0","FA","09/03/1996 09:00:00","12/03/1996 08:00:00","4.278","3.846","0.334","1.621","1.929","1.198","","","","",""
"LYK123","1989.0","WI","11/29/1988 09:00:00","02/28/1989 08:00:00","","","","","","","","","","",""
"PIN414","2000.0","SU","05/30/2000 09:00:00","08/29/2000 08:00:00","0.603","1.606","1.262","1.67","2.905","0.356","0.207","0.655","0.112","0.076",""
"CVL151","1991.0","SU","06/04/1991 09:00:00","09/03/1991 08:00:00","2.475","7.396","0.348","1.831","2.15","2.343","","","","",""
"CAT175","2013.0","FA","09/03/2013 09:00:00","12/03/2013 08:00:00","0.892","1.224","0.406","0.749","1.143","0.458","0.103","0.098","0.023","0.031","0.035"
"DCP114","2017.0","SP","02/28/2017 09:00:00","05/30/2017 08:00:00","0.912","1.235","0.759","1.032","1.774","0.571","0.224","0.097","0.051","0.061","0.059"
"ESP127","2022.0","WI","11/30/2021 09:00:00","03/01/2022 08:00:00","0.455","0.911","0.916","0.627","1.533","0.428","0.237","0.129","0.031","0.056","0.076"
"GLR468","2007.0","SU","05/29/2007 09:00:00","09/04/2007 08:00:00","0.414","0.588","0.161","0.342","0.497","0.229","0.392","0.036","0.078","0.132","0.015"
"VIN140","1990.0","SP","02/27/1990 09:00:00","05/29/1990 08:00:00","18.174","5.78","2.741","2.158","4.865","2.4","","","","",""
"MKG113","1989.0","FA","08/29/1989 09:00:00","11/28/1989 08:00:00","18.315","5.377","0.842","2.313","3.118","1.81","","","","",""
"UVL124","2012.0","FA","09/04/2012 09:00:00","12/04/2012 08:00:00","1.64","1.69","2.215","0.728","2.931","1.102","0.373","0.037","0.067","0.072","0.051"
"CAN407","2012.0","SP","02/28/2012 09:00:00","05/29/2012 08:00:00","0.218","0.733","0.343","0.427","0.763","0.252","0.472","0.086","0.06","0.054","0.031"
"QAK172","2006.0","FA","08/29/2006 09:00:00","11/28/2006 08:00:00","14.335","4.424","0.553","2.175","2.693","1.31","0.282","0.032","0.052","0.063","0.033"
"VPI120","2022.0","SU","05/31/2022 09:00:00","08/30/2022 08:00:00","0.291","1.026","0.182","0.549","0.722","0.352","0.159","0.047","0.032","0.058","0.032"
"PIN414","2012.0","WI","11/29/2011 09:00:00","02/28/2012 08:00:00","0.25","0.525","0.829","0.859","1.674","0.253","0.092","0.353","0.052","0.051","0.4"
"ALC188","2008.0","FA","09/02/2008 09:00:00","12/02/2008 08:00:00","1.732","3.019","0.436","1.345","1.759","0.743","0.333","0.291","0.06","0.129","0.096"
"CDZ171","2012.0","FA","09/04/2012 09:00:00","12/04/2012 08:00:00","2.284","2.101","1.057","1.119","2.159","0.881","0.389","0.073","0.051","0.083","0.049"
"MEV405","2004.0","SU","06/01/2004 09:00:00","08/31/2004 08:00:00","0.535","0.779","0.219","1.094","1.296","0.284","0.215","0.049","0.026","0.036","0.015"
"ROM206","2004.0","FA","08/31/2004 09:00:00","11/30/2004 08:00:00","0.279","0.508","0.195","0.509","0.696","0.225","0.054","0.015","0.008","0.014","0.013"
"BFT142","1994.0","WI","11/30/1993 09:00:00","03/01/1994 08:00:00","","","","","","","","","","",""
"GRC474","1996.0","WI","11/28/1995 09:00:00","02/27/1996 08:00:00","","","","","","","","","","",""
"CKT136","2005.0","SU","05/31/2005 09:00:00","08/30/2005 08:00:00","4.469","7.981","0.147","1.411","1.535","2.32","0.236","0.045","0.035","0.073","0.031"
"SND152","2000.0","SP","02/29/2000 09:00:00","05/30/2000 08:00:00","5.254","4.509","1.404","2.248","3.616","1.808","0.244","0.234","0.051","0.101",""
"BFT142","2011.0","FA","08/30/2011 09:00:00","11/29/2011 08:00:00","0.766","1.745","0.792","0.33","1.116","0.434","0.163","1.091","0.142","0.077","1.307"
"SHN418","2010.0","WI","12/01/2009 09:00:00","03/02/2010 08:00:00","3.191","1.589","0.53","0.966","1.481","0.675","0.068","0.033","0.009","0.044","0.029"
"ACA416","2017.0","FA","08/29/2017 09:00:00","11/28/2017 08:00:00","0.355","0.645","0.404","0.244","0.644","0.154","0.075","0.516","0.068","0.046","0.625"
"CVL151","2003.0","SP","03/04/2003 09:00:00","06/03/2003 08:00:00","1.79","4.096","0.461","1.81","2.242","1.267","0.219","0.203","0.051","0.108",""
"PED108","1990.0","WI","11/28/1989 09:00:00","02/27/1990 08:00:00","13.205","3.324","0.496","2.45","2.907","1.123","","","","",""
"ASH135","2000.0","SU","05/30/2000 09:00:00","08/29/2000 08:00:00","0.445","1.33","0.138","0.312","0.446","0.41","0.102","0.041","0.021","0.115",""
"ANA115","2002.0","WI","12/04/2001 09:00:00","02/26/2002 08:00:00","5.266","2.061","3.742","1.072","4.798","1.611","0.269","0.163","0.062","0.046",""
"GLR468","2003.0","WI","12/03/2002 09:00:00","03/04/2003 08:00:00","0.542","0.566","0.426","0.239","0.662","0.289","0.036","0.052","0.009","0.037",""
"MKG113","2005.0","SU","05/31/2005 09:00:00","08/30/2005 08:00:00","6.754","7.562","0.15","2.172","2.288","2.405","0.29","0.041","0.04","0.102","0.032"
"WST109","2019.0","FA","09/03/2019 09:00:00","12/03/2019 08:00:00","0.171","0.431","0.12","0.145","0.264","0.174","0.031","0.037","0.008","0.035","0.051"
"GRC474","2011.0","FA","08/30/2011 09:00:00","11/29/2011 08:00:00","0.15","0.444","0.132","0.347","0.473","0.173","0.087","0.034","0.014","0.016","0.016"
"PSU106","2001.0","FA","09/04/2001 09:00:00","12/04/2001 08:00:00","8.452","3.602","1.239","1.821","3.031","1.463","0.315","0.103","0.048","0.061",""
"VIN140","2003.0","SP","03/04/2003 09:00:00","06/03/2003 08:00:00","9.179","4.406","2.559","2.456","4.977","1.862","0.737","0.095","0.095","0.111",""
"HOW132","2001.0","WI","11/28/2000 09:00:00","02/27/2001 08:00:00","2.663","1.588","0.374","0.787","1.148","0.519","0.037","0.165","0.018","0.038",""
"CNT169","2006.0","WI","11/29/2005 09:00:00","02/28/2006 08:00:00","0.3","0.189","0.053","0.213","0.263","0.068","0.017","0.006","0.004","0.006","0.013"
"COW137","2022.0","SU","05/31/2022 09:00:00","08/30/2022 08:00:00","0.153","0.784","0.116","0.228","0.34","0.283","0.067","0.047","0.017","0.073","0.033"
"DEN417","2015.0","FA","09/01/2015 09:00:00","12/01/2015 08:00:00","0.456","0.141","0.036","0.042","0.077","0.044","0.016","0.018","0.006","0.006","0.025"
"GTH161","1991.0","WI","12/04/1990 09:00:00","02/26/1991 08:00:00","0.216","0.251","0.047","0.185","0.229","0.1","","","","",""
"MCK131","2002.0","WI","12/04/2001 09:00:00","02/26/2002 08:00:00","8.473","2.737","2.13","2.114","4.21","1.431","0.224","0.13","0.028","0.054",""
"ABT147","1994.0","SU","05/31/1994 09:00:00","08/30/1994 08:00:00","3.383","6.778","0.362","3.413","3.721","2.005","","","","",""
"ANA115","2004.0","FA","08/31/2004 09:00:00","11/30/2004 08:00:00","4.252","3.778","1.419","1.563","2.957","1.494","0.335","0.034","0.083","0.067","0.044"
"DIN431","2015.0","SP","03/03/2015 09:00:00","06/02/2015 08:00:00","0.375","0.535","0.248","0.353","0.595","0.178","0.35","0.072","0.046","0.032","0.032"
"PIN414","2008.0","WI","12/04/2007 09:00:00","03/04/2008 08:00:00","0.236","0.48","0.715","0.559","1.266","0.149","0.058","0.413","0.055","0.045","0.442"
"MKG113","1993.0","WI","12/01/1992 09:00:00","03/02/1993 08:00:00","22.729","4.019","1.809","2.334","4.106","1.583","","","","",""
"WST109","2005.0","WI","11/30/2004 09:00:00","03/01/2005 08:00:00","2.021","1.221","0.357","0.509","0.857","0.373","0.03","0.227","0.012","0.031","0.167"
"GAS253","1989.0","SU","05/30/1989 09:00:00","08/29/1989 08:00:00","4.641","8.548","0.32","1.977","2.263","2.268","0.138","0.209","0.062","",""
"PIN414","2010.0","SU","06/01/2010 09:00:00","08/31/2010 08:00:00","0.356","1.215","0.781","0.757","1.526","0.227","0.167","0.664","0.107","0.085","0.502"
"ROM406","2000.0","FA","08/29/2000 09:00:00","11/28/2000 08:00:00","0.572","0.645","0.246","0.581","0.818","0.285","0.075","0.017","0.008","0.011",""
"SHE604","2017.0","FA","08/29/2017 09:00:00","11/28/2017 08:00:00","0.273","0.393","0.162","0.383","0.539","0.179","0.207","0.024","0.031","0.046","0.017"
"ALH157","2020.0","SP","03/03/2020 09:00:00","06/02/2020 08:00:00","0.562","1.241","1.014","0.914","1.913","0.62","0.415","0.063","0.054","0.059","0.049"
"SPD111","2008.0","FA","09/02/2008 09:00:00","12/02/2008 08:00:00","2.086","3.209","0.601","0.903","1.49","1.01","0.709","0.053","0.05","0.08","0.033"
"ASH135","2010.0","FA","08/31/2010 09:00:00","11/30/2010 08:00:00","0.276","0.713","0.121","0.129","0.248","0.24","0.055","0.076","0.018","0.057","0.087"
"CNT169","1996.0","SU","06/04/1996 09:00:00","09/03/1996 08:00:00","0.378","0.794","0.191","0.694","0.874","0.314","","","","",""
"YEL408","2001.0","FA","09/04/2001 09:00:00","12/04/2001 08:00:00","0.505","0.462","0.143","0.194","0.334","0.195","0.095","0.027","0.012","0.022",""
"ALH157","2001.0","FA","09/04/2001 09:00:00","12/04/2001 08:00:00","4.919","3.222","2.035","1.437","3.449","1.338","0.791","0.138","0.085","0.106",""
"SND152","1999.0","SP","03/02/1999 09:00:00","06/01/1999 08:00:00","5.39","4.838","1.692","2.303","3.958","2.077","","","","",""
"THR422","2013.0","SU","06/04/2013 09:00:00","09/03/2013 08:00:00","0.472","0.888","0.322","0.634","0.946","0.3","0.582","0.034","0.081","0.064","0.015"
"CAN407","2011.0","SP","03/01/2011 09:00:00","05/31/2011 08:00:00","0.241","0.779","0.308","0.349","0.651","0.216","0.433","0.105","0.06","0.058","0.056"
"HWF187","2017.0","WI","11/29/2016 09:00:00","02/28/2017 08:00:00","0.585","0.679","0.391","0.299","0.686","0.298","0.047","0.071","0.011","0.021","0.04"
"THR422","2020.0","FA","09/01/2020 09:00:00","12/01/2020 08:00:00","0.453","0.689","0.35","0.286","0.632","0.232","0.41","0.086","0.067","0.056","0.018"
"HOX148","2020.0","SU","06/02/2020 09:00:00","09/01/2020 08:00:00","0.234","0.706","0.182","0.493","0.667","0.261","0.263","0.018","0.061","0.055","0.033"
"LYK123","1997.0","WI","12/03/1996 09:00:00","03/04/1997 08:00:00","10.809","3.677","4.138","1.546","5.659","2.152","","","","",""
"EVE419","2003.0","SU","06/03/2003 09:00:00","09/02/2003 08:00:00","","","","","","","","","","",""
"SHE604","2021.0","SP","03/02/2021 09:00:00","06/01/2021 08:00:00","0.174","0.501","0.208","0.34","0.542","0.177","0.129","0.03","0.022","0.022","0.018"
"THR422","2004.0","SU","06/01/2004 09:00:00","08/31/2004 08:00:00","0.988","0.988","0.164","0.713","0.866","0.351","0.248","0.03","0.046","0.04","0.015"
"CAT175","2022.0","FA","08/30/2022 09:00:00","11/29/2022 08:00:00","0.281","0.55","0.528","0.416","0.938","0.234","0.154","0.119","0.035","0.034","0.114"
"PNF126","2010.0","SU","06/01/2010 09:00:00","08/31/2010 08:00:00","0.491","3.806","0.081","0.736","0.804","1.264","0.092","0.056","0.022","0.07","0.03"
"ROM406","2003.0","SP","03/04/2003 09:00:00","06/03/2003 08:00:00","0.297","0.744","0.335","0.585","0.911","0.263","0.178","0.031","0.024","0.024",""
"QAK172","2019.0","WI","12/04/2018 09:00:00","02/26/2019 08:00:00","1.446","1.403","2.198","0.66","2.847","0.978","0.203","0.12","0.044","0.051","0.098"
"COW137","2004.0","SP","03/02/2004 09:00:00","06/01/2004 08:00:00","1.387","3.277","0.218","0.97","1.173","0.975","0.118","0.19","0.04","0.073","0.032"
"CDZ171","2006.0","SP","02/28/2006 09:00:00","05/30/2006 08:00:00","4.824","3.646","1.469","1.85","3.289","1.38","0.367","0.202","0.065","0.087","0.061"
"QAK172","2003.0","SP","03/04/2003 09:00:00","06/03/2003 08:00:00","15.698","4.469","0.807","3.123","3.881","1.423","0.38","0.077","0.069","0.067",""
"OXF122","2010.0","SU","06/01/2010 09:00:00","08/31/2010 08:00:00","3.042","4.519","0.269","1.649","1.892","1.456","0.37","0.056","0.088","0.135","0.03"
"LYK123","1995.0","SP","02/28/1995 09:00:00","05/30/1995 08:00:00","7.75","3.979","3.411","2.476","5.847","2.251","","","","",""
"WSP144","2013.0","SP","02/26/2013 09:00:00","06/04/2013 08:00:00","1.117","1.78","0.869","1.254","2.103","0.596","0.166","0.392","0.07","0.057","0.318"
"CTH110","2017.0","WI","11/29/2016 09:00:00","02/28/2017 08:00:00","0.975","0.949","1.152","0.527","1.67","0.575","0.137","0.114","0.022","0.034","0.085"
"WST109","2010.0","WI","12/01/2009 09:00:00","03/02/2010 08:00:00","0.629","0.838","0.293","0.258","0.547","0.324","0.034","0.135","0.011","0.056","0.106"
"VOY413","2001.0","WI","11/28/2000 09:00:00","02/27/2001 08:00:00","1.43","1.239","0.789","0.582","1.362","0.566","0.044","0.085","0.018","0.024",""
"KEF112","1994.0","WI","11/30/1993 09:00:00","03/01/1994 08:00:00","19.31","2.881","0.367","2.241","2.573","0.783","","","","",""
"WPA103","1988.0","SP","03/01/1988 09:00:00","05/31/1988 08:00:00","11.513","4.972","0.739","3.054","3.745","","","","","",""
"SUM156","2010.0","WI","12/01/2009 09:00:00","03/02/2010 08:00:00","1.316","2.234","0.409","0.537","0.938","0.667","0.091","0.332","0.046","0.073","0.167"
"WST109","2007.0","SU","05/29/2007 09:00:00","09/04/2007 08:00:00","0.46","2.185","0.063","0.378","0.435","0.74","0.048","0.024","0.013","0.056","0.033"
"ARE128","2013.0","FA","09/03/2013 09:00:00","12/03/2013 08:00:00","1.984","1.839","1.237","1.181","2.399","0.871","0.231","0.187","0.047","0.059","0.12"
"DCP114","2016.0","SU","05/31/2016 09:00:00","08/30/2016 08:00:00","0.698","1.708","0.313","1.354","1.646","0.628","0.241","0.042","0.057","0.076","0.03"
"ESP127","1997.0","SP","03/04/1997 09:00:00","06/03/1997 08:00:00","4.394","3.748","0.373","2.086","2.425","1.26","","","","",""
"HOX148","2010.0","SP","03/02/2010 09:00:00","06/01/2010 08:00:00","1.413","1.749","0.598","0.872","1.456","0.702","0.315","0.04","0.073","0.067","0.038"
"PNF126","2022.0","WI","11/30/2021 09:00:00","03/01/2022 08:00:00","0.324","0.643","0.586","0.421","1.0","0.296","0.148","0.083","0.021","0.045","0.052"
"WST109","1992.0","WI","12/03/1991 09:00:00","03/03/1992 08:00:00","3.446","1.913","0.314","0.748","1.05","0.496","","","","",""
"DCP214","1991.0","WI","12/04/1990 09:00:00","02/26/1991 08:00:00","16.915","3.908","2.003","2.141","4.11","1.783","","","","",""
"GRB411","2023.0","WI","11/29/2022 09:00:00","02/28/2023 08:00:00","","","","","","","","","","",""
"CAD150","1998.0","WI","12/02/1997 09:00:00","03/03/1998 08:00:00","1.544","2.339","0.767","1.057","1.807","1.042","","","","",""
"VIN140","1994.0","WI","11/30/1993 09:00:00","03/01/1994 08:00:00","25.47","4.263","3.441","2.121","5.529","2.128","","","","",""
"PND165","1991.0","SU","06/04/1991 09:00:00","09/03/1991 08:00:00","0.303","0.554","0.145","0.457","0.595","0.218","","","","",""
"SHE604","2022.0","FA","08/30/2022 09:00:00","11/29/2022 08:00:00","0.232","0.394","0.174","0.317","0.486","0.185","0.193","0.024","0.033","0.034","0.016"
"VOY413","2006.0","WI","11/29/2005 09:00:00","02/28/2006 08:00:00","1.102","1.052","0.348","0.643","0.981","0.358","0.05","0.064","0.017","0.021","0.022"
"CND125","2001.0","FA","09/04/2001 09:00:00","12/04/2001 08:00:00","4.688","3.484","0.747","1.753","2.471","1.216","0.141","0.353","0.055","0.078",""
"KEF112","2017.0","SU","05/30/2017 09:00:00","08/29/2017 08:00:00","0.422","1.396","0.144","0.585","0.719","0.501","0.135","0.023","0.028","0.059","0.032"
"UVL124","2021.0","FA","08/31/2021 09:00:00","11/30/2021 08:00:00","0.505","0.803","0.909","0.505","1.406","0.413","0.35","0.039","0.065","0.077","0.034"
"ALH157","1988.0","FA","08/30/1988 09:00:00","11/29/1988 08:00:00","10.801","4.699","2.285","1.594","3.854","2.036","0.749","0.085","0.09","0.186",""
"WFM105","2013.0","SU","06/04/2013 09:00:00","09/03/2013 08:00:00","0.372","1.544","0.137","0.562","0.689","0.55","0.118","0.019","0.019","0.044","0.016"
"PSU106","2008.0","SP","03/04/2008 09:00:00","06/03/2008 08:00:00","6.178","3.461","1.362","1.434","2.773","1.407","0.337","0.164","0.058","0.06","0.104"
"HOW191","2014.0","SU","06/03/2014 09:00:00","09/02/2014 08:00:00","0.257","0.789","0.096","0.293","0.385","0.275","0.04","0.084","0.016","0.045","0.034"
"SUM156","2015.0","SU","06/02/2015 09:00:00","09/01/2015 08:00:00","0.383","1.592","0.365","0.411","0.769","0.292","0.125","0.365","0.064","0.067","0.144"
"GAS153","1991.0","WI","12/04/1990 09:00:00","02/26/1991 08:00:00","9.3","3.554","0.612","1.701","2.286","1.249","","","","",""
"PAR107","2019.0","SU","06/04/2019 09:00:00","09/03/2019 08:00:00","0.206","1.288","0.122","0.428","0.543","0.431","0.179","0.026","0.025","0.078","0.032"
"PNF126","2002.0","WI","12/04/2001 09:00:00","02/26/2002 08:00:00","3.515","1.626","0.311","1.45","1.737","0.562","0.085","0.071","0.016","0.033",""
"CDZ171","2022.0","SP","03/01/2022 09:00:00","05/31/2022 08:00:00","0.703","0.965","0.555","0.786","1.328","0.347","0.282","0.135","0.047","0.058","0.092"
"MKG113","2022.0","FA","08/30/2022 09:00:00","11/29/2022 08:00:00","0.541","0.792","0.623","0.408","1.025","0.362","0.269","0.074","0.038","0.055","0.079"
"CKT136","2008.0","FA","09/02/2008 09:00:00","12/02/2008 08:00:00","4.99","3.405","0.614","1.571","2.161","1.142","0.303","0.064","0.039","0.061","0.033"
"SPD111","2020.0","SP","03/03/2020 09:00:00","06/02/2020 08:00:00","0.235","0.755","0.256","0.531","0.779","0.294","0.215","0.059","0.041","0.053","0.045"
"WST109","2005.0","SU","05/31/2005 09:00:00","08/30/2005 08:00:00","0.43","2.786","0.059","0.417","0.469","0.904","0.053","0.02","0.014","0.069","0.033"
"PRK134","2015.0","WI","12/02/2014 09:00:00","03/03/2015 08:00:00","0.833","1.469","2.434","0.211","2.641","1.165","0.169","0.136","0.04","0.153","0.177"
"MCK231","2004.0","FA","08/31/2004 09:00:00","11/30/2004 08:00:00","6.694","4.853","0.758","2.171","2.895","1.809","0.246","0.062","0.035","0.068","0.043"
"UVL124","2002.0","SP","02/26/2002 09:00:00","06/04/2002 08:00:00","3.042","2.51","1.981","1.376","3.335","1.285","0.361","0.099","0.073","0.053",""
"GRC474","2014.0","SP","03/04/2014 09:00:00","06/03/2014 08:00:00","0.202","0.627","0.328","0.33","0.653","0.202","0.311","0.121","0.042","0.036","0.047"
"LYK123","2000.0","FA","08/29/2000 09:00:00","11/28/2000 08:00:00","7.332","4.731","3.2","2.228","5.392","2.242","0.647","0.097","0.121","0.092",""
"GRB411","1999.0","WI","12/01/1998 09:00:00","03/02/1999 08:00:00","0.264","0.213","0.111","0.139","0.248","0.077","","","","",""
"CON186","2003.0","FA","09/02/2003 09:00:00","12/02/2003 08:00:00","0.381","0.788","0.918","2.315","3.197","0.406","0.198","0.094","0.03","0.04","0.02"
"UVL124","1998.0","SP","03/03/1998 09:00:00","06/02/1998 08:00:00","4.602","2.72","1.894","1.683","3.55","1.252","","","","",""
"BUF603","2017.0","WI","11/29/2016 09:00:00","02/28/2017 08:00:00","0.62","0.494","0.345","0.323","0.662","0.234","0.065","0.024","0.01","0.013","0.014"
"SAL133","1994.0","SP","03/01/1994 09:00:00","05/31/1994 08:00:00","6.726","3.798","3.87","2.018","5.856","2.151","","","","",""
"SPD111","1997.0","WI","12/03/1996 09:00:00","03/04/1997 08:00:00","8.436","3.153","1.006","1.508","2.49","1.189","","","","",""
"VPI120","1993.0","WI","12/01/1992 09:00:00","03/02/1993 08:00:00","11.597","3.172","0.348","2.411","2.721","0.87","","","","",""
"YEL408","2000.0","WI","11/30/1999 09:00:00","02/29/2000 08:00:00","0.608","0.314","0.14","0.172","0.31","0.152","","","","",""
"CDR119","1997.0","SP","03/04/1997 09:00:00","06/03/1997 08:00:00","7.447","3.568","0.391","1.905","2.266","1.129","","","","",""
"WPB104","1991.0","SU","06/04/1991 09:00:00","09/03/1991 08:00:00","7.322","7.201","0.201","2.728","2.886","1.979","","","","",""
"DCP214","1992.0","WI","12/03/1991 09:00:00","03/03/1992 08:00:00","","4.529","2.525","","","2.214","","","","",""
"POF425","2003.0","SU","06/03/2003 09:00:00","09/02/2003 08:00:00","0.242","0.273","0.034","0.157","0.188","0.118","0.025","0.012","0.007","0.021",""
"YOS404","2015.0","SU","06/02/2015 09:00:00","09/01/2015 08:00:00","0.722","0.886","0.421","0.906","1.312","0.341","0.13","0.161","0.037","0.059","0.029"
"CAD150","2008.0","FA","09/02/2008 09:00:00","12/02/2008 08:00:00","0.829","2.838","0.313","0.753","1.054","0.94","0.181","0.106","0.031","0.111","0.037"
"CHA467","1993.0","FA","08/31/1993 09:00:00","11/30/1993 08:00:00","1.745","1.148","0.162","0.396","0.552","0.369","","","","",""
"EGB181","2008.0","FA","09/02/2008 09:00:00","12/02/2008 08:00:00","1.989","1.862","1.413","0.827","2.227","0.847","0.352","0.055","0.045","0.051","0.061"
"SAL133","2021.0","SU","06/01/2021 09:00:00","08/31/2021 08:00:00","0.429","1.401","0.389","1.089","1.461","0.516","0.323","0.052","0.077","0.115","0.032"
"GRB411","2005.0","SU","05/31/2005 09:00:00","08/30/2005 08:00:00","","","","","","","","","","",""
"GAS253","1990.0","FA","09/04/1990 09:00:00","12/04/1990 08:00:00","","","","","","","","","","",""
